model,model_id,strategy,correct,total,invalid,accuracy_percent,provider,seed,repeat_seed,dataset,rag_source,rag_scope,rag_contexts_available,measured_at,accuracy_std_percent
DeepSeek-V4-Pro,deepseek-chat,Baseline,85,100,2,85.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T07:50:22.693617+00:00,
DeepSeek-V4-Pro,deepseek-chat,Baseline,90,100,0,90.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T07:52:52.013753+00:00,
DeepSeek-V4-Pro,deepseek-chat,Baseline,86,100,1,86.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T07:55:32.624649+00:00,
DeepSeek-V4-Pro,deepseek-chat,Baseline,86,100,1,86.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T07:57:55.981596+00:00,
DeepSeek-V4-Pro,deepseek-chat,Baseline,90,100,1,90.0000,deepseek-api,4042,4042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:00:25.434387+00:00,
DeepSeek-V4-Pro,deepseek-chat,Baseline,,500,,87.4000,deepseek-api,42,summary,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,85,2026-08-20T08:00:25.434387+00:00,2.4083
DeepSeek-V4-Pro,deepseek-chat,RAG,85,100,1,85.0000,deepseek-api,42,42,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,83,2026-08-20T08:03:02.782433+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG,85,100,4,85.0000,deepseek-api,1042,1042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,90,2026-08-20T08:05:30.471060+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG,84,100,2,84.0000,deepseek-api,2042,2042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,79,2026-08-20T08:08:03.236105+00:00,
DeepSeek-V4-Pro,deepseek-chat,RAG,88,100,4,88.0000,deepseek-api,3042,3042,truthfulqa/truthful_qa:multiple_choice,portkey/truthful_qa_context,oracle source-context upper bound,89,2026-08-20T08:10:31.358436+00:00,
